time,type,quantity,medium,median,pers90,pers99,max
22.29.23,64,25,0.00031096000000000004,0.000295,0.000356,0.000474,0.000474
22.29.23,66,6,0.000321,0.000285,0.000335,0.000492,0.000492
22.29.23,37,2,0.0001895,0.0001895,0.00019,0.00019,0.00019
22.29.24,1,91842,0.00024754739661590774,0.000244,0.000275,0.000341,0.00141
22.29.24,3,91944,0.00021820279735487838,0.000211,0.000254,0.000406,0.001441
22.29.24,11,5222,0.00023382229031022878,0.000223,0.000282,0.000379,0.000867
22.29.24,9,5289,0.00026800056721497335,0.000255,0.000313,0.000381,0.000729
22.29.24,40,249,0.0002786024096385543,0.000262,0.000321,0.000454,0.000737
22.29.24,42,4,0.00018675,0.000177,0.00022,0.00022,0.00022
22.29.24,64,25,0.00031096000000000004,0.000295,0.000356,0.000474,0.000474
22.29.24,66,6,0.000321,0.000285,0.000335,0.000492,0.000492
22.29.24,37,2,0.0001895,0.0001895,0.00019,0.00019,0.00019
22.29.25,1,91913,0.0002475499113291723,0.000244,0.000275,0.000341,0.00141
22.29.25,3,92020,0.00021820061943052387,0.000211,0.000254,0.000406,0.001441
22.29.25,11,5233,0.0002338220905790206,0.000223,0.000282,0.000379,0.000867
22.29.25,9,5302,0.0002680175405507344,0.000255,0.000313,0.000381,0.000729
22.29.25,40,250,0.00027870000000000005,0.000262,0.000321,0.000454,0.000737
22.29.25,42,4,0.00018675,0.000177,0.00022,0.00022,0.00022
22.29.25,64,25,0.00031096000000000004,0.000295,0.000356,0.000474,0.000474
22.29.25,66,6,0.000321,0.000285,0.000335,0.000492,0.000492
22.29.25,37,2,0.0001895,0.0001895,0.00019,0.00019,0.00019
22.29.26,1,91970,0.00024755306078066996,0.000244,0.000275,0.000341,0.00141
22.29.26,3,92071,0.00021820726395930016,0.000211,0.000254,0.000406,0.001441
22.29.26,11,5233,0.0002338220905790206,0.000223,0.000282,0.000379,0.000867
22.29.26,9,5302,0.0002680175405507344,0.000255,0.000313,0.000381,0.000729
22.29.26,40,250,0.00027870000000000005,0.000262,0.000321,0.000454,0.000737
22.29.26,42,4,0.00018675,0.000177,0.00022,0.00022,0.00022
22.29.26,64,25,0.00031096000000000004,0.000295,0.000356,0.000474,0.000474
22.29.26,66,6,0.000321,0.000285,0.000335,0.000492,0.000492
22.29.26,37,2,0.0001895,0.0001895,0.00019,0.00019,0.00019
22.29.27,1,92034,0.000247553545428844,0.000244,0.000275,0.000341,0.00141
22.29.27,3,92149,0.00021820571031695048,0.000211,0.000254,0.000406,0.001441
22.29.27,11,5234,0.00023381620175774067,0.000223,0.000282,0.000379,0.000867
22.29.27,9,5303,0.0002680175372430688,0.000255,0.000313,0.000381,0.000729
22.29.27,40,250,0.00027870000000000005,0.000262,0.000321,0.000454,0.000737
22.29.27,42,4,0.00018675,0.000177,0.00022,0.00022,0.00022
22.29.27,64,25,0.00031096000000000004,0.000295,0.000356,0.000474,0.000474
22.29.27,66,6,0.000321,0.000285,0.000335,0.000492,0.000492
22.29.27,37,2,0.0001895,0.0001895,0.00019,0.00019,0.00019
22.29.28,1,92130,0.0002475621078910043,0.000244,0.000275,0.000341,0.00141
22.29.28,3,92246,0.0002182203347570271,0.000211,0.000254,0.000406,0.001441
22.29.28,11,5271,0.00023382147600076135,0.000223,0.000282,0.00038,0.000867
22.29.28,9,5339,0.00026816445027158525,0.000255,0.000314,0.000383,0.000729
22.29.28,40,250,0.00027870000000000005,0.000262,0.000321,0.000454,0.000737
22.29.28,42,4,0.00018675,0.000177,0.00022,0.00022,0.00022
22.29.28,64,25,0.00031096000000000004,0.000295,0.000356,0.000474,0.000474
22.29.28,66,6,0.000321,0.000285,0.000335,0.000492,0.000492
22.29.28,37,2,0.0001895,0.0001895,0.00019,0.00019,0.00019
22.29.29,1,92187,0.00024756326813974014,0.000244,0.000275,0.000341,0.00141
22.29.29,3,92308,0.00021822775924076754,0.000211,0.000254,0.000406,0.001441
22.29.29,11,5274,0.00023382612817596,0.000223,0.000282,0.00038,0.000867
22.29.29,9,5342,0.0002681647323099951,0.000255,0.000314,0.000383,0.000729
22.29.29,40,250,0.00027870000000000005,0.000262,0.000321,0.000454,0.000737
22.29.29,42,4,0.00018675,0.000177,0.00022,0.00022,0.00022
22.29.29,64,25,0.00031096000000000004,0.000295,0.000356,0.000474,0.000474
22.29.29,66,6,0.000321,0.000285,0.000335,0.000492,0.000492
22.29.29,37,2,0.0001895,0.0001895,0.00019,0.00019,0.00019
22.29.30,1,92252,0.0002475647899232345,0.000244,0.000275,0.000341,0.00141
22.29.30,3,92362,0.00021823442541301426,0.000211,0.000254,0.000406,0.001441
22.29.30,11,5289,0.00023381395348837452,0.000223,0.000282,0.00038,0.000867
22.29.30,9,5354,0.0002681697796040333,0.000255,0.000314,0.000383,0.000729
22.29.30,40,251,0.00027875697211155386,0.000262,0.000321,0.000425,0.000737
22.29.30,42,4,0.00018675,0.000177,0.00022,0.00022,0.00022
22.29.30,64,25,0.00031096000000000004,0.000295,0.000356,0.000474,0.000474
22.29.30,66,6,0.000321,0.000285,0.000335,0.000492,0.000492
22.29.30,37,2,0.0001895,0.0001895,0.00019,0.00019,0.00019
22.29.31,1,92332,0.0002475684594723198,0.000244,0.000275,0.000341,0.00141
22.29.31,3,92449,0.00021825868316581985,0.000211,0.000254,0.000407,0.001441
22.29.31,11,5310,0.00023392090395480493,0.000223,0.000282,0.00038,0.000867
22.29.31,9,5365,0.0002681649580615089,0.000255,0.000314,0.000383,0.000729
22.29.31,40,251,0.00027875697211155386,0.000262,0.000321,0.000425,0.000737
22.29.31,42,4,0.00018675,0.000177,0.00022,0.00022,0.00022
22.29.31,64,25,0.00031096000000000004,0.000295,0.000356,0.000474,0.000474
22.29.31,66,6,0.000321,0.000285,0.000335,0.000492,0.000492
22.29.31,37,2,0.0001895,0.0001895,0.00019,0.00019,0.00019
22.29.32,1,92400,0.0002475712878787689,0.000244,0.000275,0.000342,0.00141
22.29.32,3,92516,0.00021825834450253938,0.000211,0.000254,0.000407,0.001441
22.29.32,11,5314,0.0002339222807677859,0.000223,0.000282,0.00038,0.000867
22.29.32,9,5384,0.00026811051263001434,0.000255,0.000313,0.000383,0.000729
22.29.32,40,251,0.00027875697211155386,0.000262,0.000321,0.000425,0.000737
22.29.32,42,4,0.00018675,0.000177,0.00022,0.00022,0.00022
22.29.32,64,25,0.00031096000000000004,0.000295,0.000356,0.000474,0.000474
22.29.32,66,6,0.000321,0.000285,0.000335,0.000492,0.000492
22.29.32,37,2,0.0001895,0.0001895,0.00019,0.00019,0.00019
22.29.33,1,92463,0.0002475766739127895,0.000244,0.000275,0.000342,0.00141
22.29.33,3,92577,0.0002182593840802465,0.000211,0.000254,0.000407,0.001441
22.29.33,11,5319,0.000233949238578683,0.000223,0.000282,0.00038,0.000867
22.29.33,9,5391,0.0002680882953069927,0.000255,0.000313,0.000383,0.000729
22.29.33,40,251,0.00027875697211155386,0.000262,0.000321,0.000425,0.000737
22.29.33,42,4,0.00018675,0.000177,0.00022,0.00022,0.00022
22.29.33,64,25,0.00031096000000000004,0.000295,0.000356,0.000474,0.000474
22.29.33,66,6,0.000321,0.000285,0.000335,0.000492,0.000492
22.29.33,37,2,0.0001895,0.0001895,0.00019,0.00019,0.00019
22.29.34,1,92532,0.00024757631954349047,0.000244,0.000275,0.000342,0.00141
22.29.34,3,92643,0.00021826037585135366,0.000211,0.000254,0.000407,0.001441
22.29.34,11,5324,0.00023394346356123488,0.000223,0.000282,0.00038,0.000867
22.29.34,9,5395,0.0002680824837812785,0.000255,0.000313,0.000383,0.000729
22.29.34,40,251,0.00027875697211155386,0.000262,0.000321,0.000425,0.000737
22.29.34,42,4,0.00018675,0.000177,0.00022,0.00022,0.00022
22.29.34,64,25,0.00031096000000000004,0.000295,0.000356,0.000474,0.000474
22.29.34,66,6,0.000321,0.000285,0.000335,0.000492,0.000492
22.29.34,37,2,0.0001895,0.0001895,0.00019,0.00019,0.00019
22.29.35,1,92592,0.00024757656168997605,0.000244,0.000275,0.000342,0.00141
22.29.35,3,92712,0.00021826388169812917,0.000211,0.000254,0.000407,0.001441
22.29.35,11,5326,0.00023393653773939437,0.000223,0.000282,0.00038,0.000867
22.29.35,9,5398,0.00026806891441274495,0.000255,0.000313,0.000383,0.000729
22.29.35,40,251,0.00027875697211155386,0.000262,0.000321,0.000425,0.000737
22.29.35,42,4,0.00018675,0.000177,0.00022,0.00022,0.00022
22.29.35,64,25,0.00031096000000000004,0.000295,0.000356,0.000474,0.000474
22.29.35,66,6,0.000321,0.000285,0.000335,0.000492,0.000492
22.29.35,37,2,0.0001895,0.0001895,0.00019,0.00019,0.00019
22.29.36,1,92652,0.0002475790376893997,0.000244,0.000275,0.000342,0.00141
22.29.36,3,92770,0.00021826250943189548,0.000211,0.000254,0.000407,0.001441
22.29.36,11,5327,0.00023393241974845397,0.000223,0.000282,0.00038,0.000867
22.29.36,9,5399,0.0002680664937951467,0.000255,0.000313,0.000383,0.000729
22.29.36,40,251,0.00027875697211155386,0.000262,0.000321,0.000425,0.000737
22.29.36,42,4,0.00018675,0.000177,0.00022,0.00022,0.00022
22.29.36,64,25,0.00031096000000000004,0.000295,0.000356,0.000474,0.000474
22.29.36,66,6,0.000321,0.000285,0.000335,0.000492,0.000492
22.29.36,37,2,0.0001895,0.0001895,0.00019,0.00019,0.00019
22.29.37,1,92703,0.00024757742467879427,0.000244,0.000275,0.000342,0.00141
22.29.37,3,92815,0.00021826632548614924,0.000211,0.000254,0.000407,0.001441
22.29.37,11,5328,0.00023392774024024292,0.000223,0.000282,0.00038,0.000867
22.29.37,9,5400,0.0002680607407407402,0.000255,0.000313,0.000383,0.000729
22.29.37,40,251,0.00027875697211155386,0.000262,0.000321,0.000425,0.000737
22.29.37,42,4,0.00018675,0.000177,0.00022,0.00022,0.00022
22.29.37,64,25,0.00031096000000000004,0.000295,0.000356,0.000474,0.000474
22.29.37,66,6,0.000321,0.000285,0.000335,0.000492,0.000492
22.29.37,37,2,0.0001895,0.0001895,0.00019,0.00019,0.00019
22.29.38,1,92756,0.00024757395747982086,0.000244,0.000275,0.000341,0.00141
22.29.38,3,92871,0.00021826636948021376,0.000211,0.000254,0.000407,0.001441
22.29.38,11,5330,0.00023393489681050922,0.000223,0.000282,0.00038,0.000867
22.29.38,9,5401,0.0002680548046658021,0.000255,0.000313,0.000383,0.000729
22.29.38,40,251,0.00027875697211155386,0.000262,0.000321,0.000425,0.000737
22.29.38,42,4,0.00018675,0.000177,0.00022,0.00022,0.00022
22.29.38,64,25,0.00031096000000000004,0.000295,0.000356,0.000474,0.000474
22.29.38,66,6,0.000321,0.000285,0.000335,0.000492,0.000492
22.29.38,37,2,0.0001895,0.0001895,0.00019,0.00019,0.00019
22.29.39,1,92810,0.0002475750888912646,0.000244,0.000275,0.000342,0.00141
22.29.39,3,92921,0.000218261307992778,0.000211,0.000254,0.000407,0.001441
22.29.39,11,5330,0.00023393489681050922,0.000223,0.000282,0.00038,0.000867
22.29.39,9,5401,0.0002680548046658021,0.000255,0.000313,0.000383,0.000729
22.29.39,40,251,0.00027875697211155386,0.000262,0.000321,0.000425,0.000737
22.29.39,42,4,0.00018675,0.000177,0.00022,0.00022,0.00022
22.29.39,64,25,0.00031096000000000004,0.000295,0.000356,0.000474,0.000474
22.29.39,66,6,0.000321,0.000285,0.000335,0.000492,0.000492
22.29.39,37,2,0.0001895,0.0001895,0.00019,0.00019,0.00019
22.29.40,1,92857,0.00024757322549725136,0.000244,0.000275,0.000341,0.00141
22.29.40,3,92973,0.00021825592376277972,0.000211,0.000254,0.000407,0.001441
22.29.40,11,5331,0.00023393059463515552,0.000223,0.000282,0.00038,0.000867
22.29.40,9,5403,0.00026804497501388056,0.000255,0.000313,0.000383,0.000729
22.29.40,40,251,0.00027875697211155386,0.000262,0.000321,0.000425,0.000737
22.29.40,42,4,0.00018675,0.000177,0.00022,0.00022,0.00022
22.29.40,64,25,0.00031096000000000004,0.000295,0.000356,0.000474,0.000474
22.29.40,66,6,0.000321,0.000285,0.000335,0.000492,0.000492
22.29.40,37,2,0.0001895,0.0001895,0.00019,0.00019,0.00019
22.29.41,1,92907,0.0002475719482923597,0.000244,0.000275,0.000342,0.00141
22.29.41,3,93017,0.00021825058860204999,0.000211,0.000254,0.000407,0.001441
22.29.41,11,5332,0.00023392854463616166,0.000223,0.000282,0.00038,0.000867
22.29.41,9,5404,0.0002680401554404139,0.000255,0.000313,0.000383,0.000729
22.29.41,40,251,0.00027875697211155386,0.000262,0.000321,0.000425,0.000737
22.29.41,42,4,0.00018675,0.000177,0.00022,0.00022,0.00022
22.29.41,64,25,0.00031096000000000004,0.000295,0.000356,0.000474,0.000474
22.29.41,66,6,0.000321,0.000285,0.000335,0.000492,0.000492
22.29.41,37,2,0.0001895,0.0001895,0.00019,0.00019,0.00019
22.29.42,1,92965,0.000247569934921726,0.000244,0.000275,0.000341,0.00141
22.29.42,3,93077,0.00021824857913337127,0.000211,0.000254,0.000407,0.001441
22.29.42,11,5333,0.0002339413088318046,0.000223,0.000282,0.00038,0.000867
22.29.42,9,5404,0.0002680401554404139,0.000255,0.000313,0.000383,0.000729
22.29.42,40,251,0.00027875697211155386,0.000262,0.000321,0.000425,0.000737
22.29.42,42,4,0.00018675,0.000177,0.00022,0.00022,0.00022
22.29.42,64,25,0.00031096000000000004,0.000295,0.000356,0.000474,0.000474
22.29.42,66,6,0.000321,0.000285,0.000335,0.000492,0.000492
22.29.42,37,2,0.0001895,0.0001895,0.00019,0.00019,0.00019
22.29.43,1,93022,0.0002475635226075365,0.000244,0.000275,0.000341,0.00141
22.29.43,3,93135,0.00021824321683574073,0.000211,0.000254,0.000407,0.001441
22.29.43,11,5335,0.00023393008434864366,0.000223,0.000282,0.00038,0.000867
22.29.43,9,5407,0.00026803088588866217,0.000255,0.000313,0.000383,0.000729
22.29.43,40,251,0.00027875697211155386,0.000262,0.000321,0.000425,0.000737
22.29.43,42,4,0.00018675,0.000177,0.00022,0.00022,0.00022
22.29.43,64,25,0.00031096000000000004,0.000295,0.000356,0.000474,0.000474
22.29.43,66,6,0.000321,0.000285,0.000335,0.000492,0.000492
22.29.43,37,2,0.0001895,0.0001895,0.00019,0.00019,0.00019
22.29.44,1,93069,0.0002475589079070181,0.000244,0.000275,0.000341,0.00141
22.29.44,3,93185,0.00021824571551211724,0.000211,0.000254,0.000407,0.001441
22.29.44,11,5337,0.000233940228592845,0.000223,0.000282,0.00038,0.000867
22.29.44,9,5409,0.0002680227398779804,0.000255,0.000313,0.000383,0.000729
22.29.44,40,251,0.00027875697211155386,0.000262,0.000321,0.000425,0.000737
22.29.44,42,4,0.00018675,0.000177,0.00022,0.00022,0.00022
22.29.44,64,25,0.00031096000000000004,0.000295,0.000356,0.000474,0.000474
22.29.44,66,6,0.000321,0.000285,0.000335,0.000492,0.000492
22.29.44,37,2,0.0001895,0.0001895,0.00019,0.00019,0.00019
22.29.45,1,93123,0.0002475553730012808,0.000244,0.000275,0.000341,0.00141
